VariantsC(
  (decoder): Sequential(
    (0): Conv2d(8, 192, kernel_size=(1, 1), stride=(1, 1))
    (1): PixelShuffle(upscale_factor=8)
  )
  (encoder): ModuleList(
    (0): SSMBlock(
      (block): S4ND(
        (kernel): ModuleList(
          (0-1): 2 x SSMKernelDPLR()
        )
      )
    )
    (1-3): 3 x Sequential(
      (0): SSMBlock(
        (block): S4ND(
          (kernel): ModuleList(
            (0-1): 2 x SSMKernelDPLR()
          )
        )
      )
      (1): Conv2d(3, 8, kernel_size=(1, 1), stride=(1, 1))
    )
  )
  (downsample): ModuleList(
    (0): Sequential(
      (0): Upsample(scale_factor=0.5, mode='bicubic')
      (1): Conv2d(3, 8, kernel_size=(1, 1), stride=(1, 1))
    )
    (1-2): 2 x Sequential(
      (0): Upsample(scale_factor=0.5, mode='bicubic')
      (1): Conv2d(8, 8, kernel_size=(1, 1), stride=(1, 1))
    )
    (3): Identity()
  )
)
Encoder_0.0M_Decoder_0.0M_Total_0.0M
[2025/03/05 18:00:30] Rank:None, Sample ID:127, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.6133
[2025/03/05 18:00:38] Rank:None, Sample ID:128, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.5677
[2025/03/05 18:00:45] Rank:None, Sample ID:129, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.7798
[2025/03/05 18:00:53] Rank:None, Sample ID:130, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.1696
[2025/03/05 18:01:01] Rank:None, Sample ID:131, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.0302
[2025/03/05 18:01:09] Rank:None, Sample ID:132, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.5067
[2025/03/05 18:01:17] Rank:None, Sample ID:133, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.0346
[2025/03/05 18:01:24] Rank:None, Sample ID:134, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.5705
[2025/03/05 18:01:32] Rank:None, Sample ID:135, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.5146
[2025/03/05 18:01:39] Rank:None, Sample ID:136, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.3654
[2025/03/05 18:01:47] Rank:None, Sample ID:137, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.5929
[2025/03/05 18:01:55] Rank:None, Sample ID:138, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.0294
[2025/03/05 18:02:02] Rank:None, Sample ID:139, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.5752
[2025/03/05 18:02:10] Rank:None, Sample ID:140, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.7064
[2025/03/05 18:02:17] Rank:None, Sample ID:141, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.4994
[2025/03/05 18:02:25] Rank:None, Sample ID:142, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.4233
[2025/03/05 18:02:32] Rank:None, Sample ID:143, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.3649
[2025/03/05 18:02:40] Rank:None, Sample ID:144, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.127
[2025/03/05 18:02:48] Rank:None, Sample ID:145, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.2663
[2025/03/05 18:02:56] Rank:None, Sample ID:146, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.3356
[2025/03/05 18:03:03] Rank:None, Sample ID:147, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.7964
[2025/03/05 18:03:11] Rank:None, Sample ID:148, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.7152
[2025/03/05 18:03:19] Rank:None, Sample ID:149, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.9123
[2025/03/05 18:03:26] Rank:None, Sample ID:150, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.0188
[2025/03/05 18:03:34] Rank:None, Sample ID:151, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.1701
[2025/03/05 18:03:42] Rank:None, Sample ID:152, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.0997
[2025/03/05 18:03:50] Rank:None, Sample ID:153, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.1881
[2025/03/05 18:03:58] Rank:None, Sample ID:154, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.7529
[2025/03/05 18:04:05] Rank:None, Sample ID:155, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.7284
[2025/03/05 18:04:13] Rank:None, Sample ID:156, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.3669
[2025/03/05 18:04:21] Rank:None, Sample ID:157, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.1663
[2025/03/05 18:04:29] Rank:None, Sample ID:158, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.8707
[2025/03/05 18:04:37] Rank:None, Sample ID:159, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.6324
[2025/03/05 18:04:45] Rank:None, Sample ID:160, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.3754
[2025/03/05 18:04:52] Rank:None, Sample ID:161, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.7942
[2025/03/05 18:05:00] Rank:None, Sample ID:162, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.8025
[2025/03/05 18:05:08] Rank:None, Sample ID:163, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.6294
[2025/03/05 18:05:15] Rank:None, Sample ID:164, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.8135
[2025/03/05 18:05:23] Rank:None, Sample ID:165, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.1461
[2025/03/05 18:05:31] Rank:None, Sample ID:166, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.6847
[2025/03/05 18:05:39] Rank:None, Sample ID:167, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.2703
[2025/03/05 18:05:46] Rank:None, Sample ID:168, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.8989
