VariantsB(
  (decoder): Sequential(
    (0): Conv2d(8, 192, kernel_size=(1, 1), stride=(1, 1))
    (1): PixelShuffle(upscale_factor=8)
  )
  (encoder): ModuleList(
    (0): TransformerBlock(
      (inflation): Conv2d(3, 16, kernel_size=(1, 1), stride=(1, 1))
      (transformer): MultiheadAttention(
        (out_proj): NonDynamicallyQuantizableLinear(in_features=16, out_features=16, bias=True)
      )
      (deflation): Conv2d(16, 3, kernel_size=(1, 1), stride=(1, 1))
    )
    (1-3): 3 x Sequential(
      (0): TransformerBlock(
        (inflation): Conv2d(3, 16, kernel_size=(1, 1), stride=(1, 1))
        (transformer): MultiheadAttention(
          (out_proj): NonDynamicallyQuantizableLinear(in_features=16, out_features=16, bias=True)
        )
        (deflation): Conv2d(16, 3, kernel_size=(1, 1), stride=(1, 1))
      )
      (1): Conv2d(3, 8, kernel_size=(1, 1), stride=(1, 1))
    )
  )
  (downsample): ModuleList(
    (0): Conv2d(3, 8, kernel_size=(2, 2), stride=(2, 2))
    (1-2): 2 x Conv2d(8, 8, kernel_size=(2, 2), stride=(2, 2))
    (3): Identity()
  )
)
Encoder_0.03M_Decoder_0.0M_Total_0.0M
[2025/03/05 17:37:10] Rank:None, Sample ID:67, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.5685
[2025/03/05 17:37:16] Rank:None, Sample ID:68, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.8368
[2025/03/05 17:37:21] Rank:None, Sample ID:69, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.3326
[2025/03/05 17:37:25] Rank:None, Sample ID:70, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.4968
[2025/03/05 17:37:29] Rank:None, Sample ID:71, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.1609
[2025/03/05 17:37:34] Rank:None, Sample ID:72, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.802
[2025/03/05 17:37:38] Rank:None, Sample ID:73, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.3663
[2025/03/05 17:37:43] Rank:None, Sample ID:74, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.0212
[2025/03/05 17:37:47] Rank:None, Sample ID:75, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.9467
[2025/03/05 17:37:51] Rank:None, Sample ID:76, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.2881
[2025/03/05 17:37:56] Rank:None, Sample ID:77, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.1022
[2025/03/05 17:38:00] Rank:None, Sample ID:78, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.0178
[2025/03/05 17:38:05] Rank:None, Sample ID:79, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.6248
[2025/03/05 17:38:10] Rank:None, Sample ID:80, Epoch[300/300], lr:0.00e+00 pred_PSNR: 24.287
[2025/03/05 17:38:15] Rank:None, Sample ID:81, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.3097
[2025/03/05 17:38:20] Rank:None, Sample ID:82, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.4244
[2025/03/05 17:38:24] Rank:None, Sample ID:83, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.3762
[2025/03/05 17:38:28] Rank:None, Sample ID:84, Epoch[300/300], lr:0.00e+00 pred_PSNR: 23.9253
[2025/03/05 17:38:32] Rank:None, Sample ID:85, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.129
[2025/03/05 17:38:37] Rank:None, Sample ID:86, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.6817
[2025/03/05 17:38:41] Rank:None, Sample ID:87, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.7976
[2025/03/05 17:38:46] Rank:None, Sample ID:88, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.6263
[2025/03/05 17:38:51] Rank:None, Sample ID:89, Epoch[300/300], lr:0.00e+00 pred_PSNR: 26.8075
[2025/03/05 17:38:56] Rank:None, Sample ID:90, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.252
[2025/03/05 17:39:01] Rank:None, Sample ID:91, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.2792
[2025/03/05 17:39:06] Rank:None, Sample ID:92, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.1935
[2025/03/05 17:39:11] Rank:None, Sample ID:93, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.3612
[2025/03/05 17:39:16] Rank:None, Sample ID:94, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.0117
[2025/03/05 17:39:22] Rank:None, Sample ID:95, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.3248
[2025/03/05 17:39:27] Rank:None, Sample ID:96, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.8948
[2025/03/05 17:39:33] Rank:None, Sample ID:97, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.5428
[2025/03/05 17:39:38] Rank:None, Sample ID:98, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.7601
[2025/03/05 17:39:45] Rank:None, Sample ID:99, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.0048
[2025/03/05 17:39:50] Rank:None, Sample ID:100, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.3423
[2025/03/05 17:39:55] Rank:None, Sample ID:101, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.9375
[2025/03/05 17:40:00] Rank:None, Sample ID:102, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.8598
[2025/03/05 17:40:06] Rank:None, Sample ID:103, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.9319
[2025/03/05 17:40:11] Rank:None, Sample ID:104, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.6817
[2025/03/05 17:40:17] Rank:None, Sample ID:105, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.3034
[2025/03/05 17:40:23] Rank:None, Sample ID:106, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.1502
[2025/03/05 17:40:27] Rank:None, Sample ID:107, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.2927
[2025/03/05 17:40:32] Rank:None, Sample ID:108, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.0551
